"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView.  Data presented from public health laboratories include the weekly total number of specimens tested, the number of positive influenza tests, and the number by influenza virus type, subtype, and influenza B lineage."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,A (2009 H1N1),A (H3),A (Subtyping not Performed),B,BVic,BYam,H3N2v,A (H5)
HHS Regions,Region 1,2016,25,0,0,0,0,0,0,0,0,0
HHS Regions,Region 9,2016,25,90,1,7,0,1,2,4,0,0
HHS Regions,Region 1,2016,26,10,1,0,0,0,0,0,0,0
HHS Regions,Region 9,2016,26,88,1,7,0,0,0,1,0,0
HHS Regions,Region 1,2016,27,3,0,0,0,0,0,0,0,0
HHS Regions,Region 9,2016,27,88,0,9,0,0,1,2,0,0
HHS Regions,Region 1,2016,28,0,0,0,0,0,0,0,0,0
HHS Regions,Region 9,2016,28,68,0,4,1,0,0,4,0,0
HHS Regions,Region 1,2016,29,0,0,0,0,0,0,0,0,0
HHS Regions,Region 9,2016,29,66,0,6,1,0,0,4,0,0
HHS Regions,Region 1,2016,30,2,0,0,0,0,0,0,0,0
HHS Regions,Region 9,2016,30,77,0,10,0,0,0,1,0,0
HHS Regions,Region 1,2016,31,0,0,0,0,0,0,0,0,0
HHS Regions,Region 9,2016,31,88,1,6,0,0,0,1,0,0
HHS Regions,Region 1,2016,32,2,0,0,0,0,0,0,0,0
HHS Regions,Region 9,2016,32,93,2,8,0,1,2,4,0,0
HHS Regions,Region 1,2016,33,3,0,0,0,0,0,0,0,0
HHS Regions,Region 9,2016,33,82,0,6,0,1,0,4,0,0
HHS Regions,Region 1,2016,34,1,0,0,0,0,0,0,0,0
HHS Regions,Region 9,2016,34,85,2,6,0,0,0,0,0,0
HHS Regions,Region 1,2016,35,12,1,2,0,0,0,0,0,0
HHS Regions,Region 9,2016,35,93,2,7,0,0,0,1,0,0
HHS Regions,Region 1,2016,36,9,0,4,0,0,0,0,0,0
HHS Regions,Region 9,2016,36,97,1,6,0,0,0,2,0,0
HHS Regions,Region 1,2016,37,21,0,12,0,0,0,0,0,0
HHS Regions,Region 9,2016,37,118,3,7,1,0,2,3,0,0
HHS Regions,Region 1,2016,38,15,0,5,0,0,0,0,0,0
HHS Regions,Region 9,2016,38,161,2,17,0,0,0,3,0,0
HHS Regions,Region 1,2016,39,18,0,0,0,0,0,0,0,0
HHS Regions,Region 9,2016,39,114,2,13,0,0,1,0,0,0
HHS Regions,Region 1,2016,40,31,0,6,0,0,0,0,0,0
HHS Regions,Region 9,2016,40,186,3,27,0,0,0,3,0,0
HHS Regions,Region 1,2016,41,14,0,2,0,0,0,0,0,0
HHS Regions,Region 9,2016,41,195,5,27,0,0,1,3,0,0
HHS Regions,Region 1,2016,42,25,0,3,0,0,0,0,0,0
HHS Regions,Region 9,2016,42,228,7,52,0,0,2,3,0,0
HHS Regions,Region 1,2016,43,30,0,5,0,0,0,0,0,0
HHS Regions,Region 9,2016,43,221,0,35,1,0,0,1,0,0
HHS Regions,Region 1,2016,44,34,0,8,0,0,1,0,0,0
HHS Regions,Region 9,2016,44,251,5,36,0,0,0,5,0,0
HHS Regions,Region 1,2016,45,23,0,1,0,0,0,0,0,0
HHS Regions,Region 9,2016,45,243,1,64,0,0,1,1,0,0
HHS Regions,Region 1,2016,46,37,0,8,0,0,0,0,0,0
HHS Regions,Region 9,2016,46,256,1,61,0,0,4,0,0,0
HHS Regions,Region 1,2016,47,18,0,1,0,0,0,1,0,0
HHS Regions,Region 9,2016,47,237,1,56,7,0,2,1,0,0
HHS Regions,Region 1,2016,48,29,0,16,0,0,0,0,0,0
HHS Regions,Region 9,2016,48,362,6,108,3,1,5,0,0,0
HHS Regions,Region 1,2016,49,53,0,24,0,0,0,1,0,0
HHS Regions,Region 9,2016,49,414,4,147,2,0,6,1,0,0
HHS Regions,Region 1,2016,50,52,5,24,0,0,0,1,0,0
HHS Regions,Region 9,2016,50,519,2,204,6,1,5,3,0,0
HHS Regions,Region 1,2016,51,72,7,44,0,3,1,0,0,0
HHS Regions,Region 9,2016,51,545,6,261,3,1,0,1,0,0
HHS Regions,Region 1,2016,52,111,3,85,0,0,3,3,0,0
HHS Regions,Region 9,2016,52,957,14,582,15,0,7,4,0,0
HHS Regions,Region 1,2017,1,160,4,115,0,2,1,6,0,0
HHS Regions,Region 9,2017,1,1278,21,838,8,1,5,4,0,0
HHS Regions,Region 1,2017,2,185,1,130,0,1,5,5,0,0
HHS Regions,Region 9,2017,2,1363,23,737,17,6,4,7,0,0
HHS Regions,Region 1,2017,3,237,1,175,0,1,3,13,0,0
HHS Regions,Region 9,2017,3,1061,14,556,15,3,5,5,0,0
HHS Regions,Region 1,2017,4,253,0,200,0,0,4,5,0,0
HHS Regions,Region 9,2017,4,985,15,548,14,4,5,12,0,0
HHS Regions,Region 1,2017,5,281,2,213,0,8,3,11,0,0
HHS Regions,Region 9,2017,5,971,17,482,11,6,8,8,0,0
HHS Regions,Region 1,2017,6,361,0,278,0,11,6,10,0,0
HHS Regions,Region 9,2017,6,982,15,555,5,5,4,11,0,0
HHS Regions,Region 1,2017,7,296,2,197,0,24,2,17,0,0
HHS Regions,Region 9,2017,7,763,16,371,4,3,13,7,0,0
HHS Regions,Region 1,2017,8,292,3,183,0,15,1,21,0,0
HHS Regions,Region 9,2017,8,607,14,282,3,3,12,11,0,0
HHS Regions,Region 1,2017,9,188,0,105,1,14,3,17,0,0
HHS Regions,Region 9,2017,9,588,18,235,2,12,6,18,0,0
